Name,Death_Claims_DC,Total_Value_DC,Average_Age_DC,Average_Claim_DC,SIC_Claims,Total_Value_SIC,Average_Age_SIC,Average_Claim_SIC,Average_Age_all_claims
Carlow,61,1702331,61,27907,10,713368,51,71337,56
Cavan,19,1464156,58,77061,20,1034026,47,51701,57
Clare,43,3378522,55,78570,19,1548241,51,81486,53
Cork,168,12185138,60,72531,103,6521717,51,63318,55
Donegal,36,1933639,56,53712,27,2688421,51,99571,53
Dublin,579,32657122,64,56403,172,12662707,52,73620,58
Galway,71,5191049,58,73113,26,2712108,52,104312,55
Kerry,49,2776074,60,56655,16,1011871,49,63242,55
Kildare,67,6543843,57,97669,40,2310957,51,57774,54
Kilkenny,23,2133448,55,92759,22,1705251,52,77511,54
Laois,14,663086,51,47363,21,1498990,49,71380,50
Leitrim,8,380264,60,47533,7,444078,36,63440,48
Limerick,58,3448437,60,59456,35,2180407,54,62297,57
Longford,33,1926213,61,58370,8,438961,53,54870,57
Louth,74,6747637,60,91184,33,2038717,51,61779,56
Mayo,52,3623735,63,69687,34,2462914,49,72439,56
Meath,80,5269225,57,65865,43,3123761,48,72646,53
Monaghan,24,1880160,57,78340,22,1382201,52,62827,55
Offaly,19,1073437,57,56497,8,272347,54,34043,56
Roscommon,23,1453929,60,63214,9,631055,54,70117,57
Sligo,15,568420,64,37895,5,476210,52,95242,58
Tipperary,40,2092009,59,52300,33,2079927,51,63028,55
Westmeath,30,2641029,60,88034,22,1441677,49,65531,55
Waterford,45,2910307,57,64673,16,855968,46,53498,52
Wexford,51,3409530,60,66854,31,2070478,46,66790,53
Wicklow,57,3885368,61,68164,23,1275130,52,55440,57
