Name,Death_Claims_DC,Total_Value_DC,Average_Age_DC,Average_Claim_DC,SIC_Claims,Total_Value_SIC,Average_Age_SIC,Average_Claim_SIC,Average_Age_all_claims
Carlow,18,1351456,54,75081,5,289706,35,57941,50
Cavan,15,685971,63,45731,11,782482,48,71135,57
Clare,22,1255506,64,57068,15,841344,49,56090,58
Cork,126,8504511,61,67496,85,5014696,47,58996,55
Donegal,41,2581941,60,62974,21,923729,48,43987,56
Dublin,419,31373621,63,74877,139,10340834,49,74394,60
Galway,44,2261723,64,51403,19,2084771,43,109725,58
Kerry,17,804558,62,47327,16,615877,52,38492,57
Kildare,48,3839179,56,79983,36,2687757,52,74660,54
Kilkenny,13,539414,53,41493,10,521416,50,52142,52
Laois,8,534910,64,66864,8,516682,51,64585,58
Leitrim,10,545827,64,54583,3,113551,53,37850,61
Limerick,32,1465193,58,45787,20,1529612,50,76481,55
Longford,12,570476,57,47540,9,381796,47,42422,53
Louth,47,2669213,57,56792,43,3361396,48,78172,53
Mayo,21,1739553,57,82836,23,1407119,48,61179,52
Meath,59,4541727,54,76978,25,1868758,46,74750,52
Monaghan,8,469883,63,58735,13,910156,46,70012,52
Offaly,16,1027298,61,64206,10,770731,47,77073,56
Roscommon,9,366923,63,40769,10,921864,46,92186,54
Sligo,15,461477,66,30765,9,625149,49,69461,60
Tipperary,34,1588174,59,46711,27,1245003,46,46111,53
Westmeath,22,1374663,60,62485,11,865860,43,78715,54
Waterford,20,1051728,61,52586,8,750808,43,93851,56
Wexford,40,2849039,56,71226,14,876556,45,62611,53
Wicklow,39,4437353,63,113778,15,1171386,45,78092,58
