Name,Death_Claims_DC,Total_Value_DC,Average_Age_DC,Average_Claim_DC,SIC_Claims,Total_Value_SIC,Average_Age_SIC,Average_Claim_SIC,Average_Age_all_claims
Carlow,23,1826973,56,79434,11,378803,56,34437,56
Cavan,22,1917368,54,87153,12,1040698,53,86725,54
Clare,34,2459575,61,72340,17,976749,52,57456,57
Cork,159,11894490,63,74808,79,5710853,50,72289,57
Donegal,30,1597916,60,53264,25,1582856,54,63314,57
Dublin,608,39318988,65,64669,230,14426399,53,62723,59
Galway,58,3791377,60,65369,40,3209466,54,80237,57
Kerry,38,1924119,59,50635,26,1203181,55,46276,57
Kildare,68,4693865,62,69027,46,3113668,50,67688,56
Kilkenny,26,2143386,59,82438,11,675506,51,61410,55
Laois,24,1370499,56,57104,9,493275,49,54808,53
Leitrim,11,555020,64,50456,5,180857,62,36171,63
Limerick,58,4305411,59,74231,33,2198379,52,66618,56
Longford,16,1197808,59,74863,6,212699,58,35450,59
Louth,56,3308186,62,59075,33,1926281,49,58372,56
Mayo,51,2524026,56,49491,26,1600963,47,61576,52
Meath,73,4808852,64,65875,51,2521314,51,49438,58
Monaghan,24,1337289,59,55720,19,969095,51,51005,55
Offaly,12,1051684,60,87640,10,380182,51,38018,56
Roscommon,14,810377,65,57884,4,306846,39,76712,52
Sligo,24,1132931,56,47205,12,792961,48,66080,52
Tipperary,62,3651115,61,58889,25,1183860,53,47354,57
Westmeath,22,927868,60,88034,9,331433,55,65531,55
Waterford,39,3283243,59,69035,17,2164244,49,95988,55
Wexford,50,3565365,59,71307,30,1355337,53,45178,56
Wicklow,53,4200223,63,79249,17,1361774,52,80104,58
